BeamCharge(pC),PeakEnergy(MeV)
22.6289,95
25.1756,101
30.7616,79
23.2457,100
26.655,91
27.6628,89
27.3371,96
24.7083,98
29.4573,85
29.6197,81
29.6318,73
24.1405,103
26.8642,96
25.5376,98
29.7453,91
22.2284,104
25.0711,94
23.7584,99
25.0608,99
21.1251,106
28.4079,86
26.5409,94
27.9237,91
18.8795,107
27.5098,70
24.5498,88
12.7507,100
24.6266,105
26.5833,85
23.9282,98
26.2635,95
23.9942,101
23.2372,98
27.0849,91
25.3026,97
26.6018,101
25.0587,88
24.5822,107
27.1348,89
22.265,112
24.1783,105
17.443,99
25.7835,79
30.0533,100
22.928,105
22.7197,104
23.8693,97
30.0507,91
24.6715,90
25.816,107
27.4945,89
