LECROYWS4104HD,18971,Waveform
Segments,1,SegmentSize,1252
Segment,TrigTime,TimeSinceSegment1
#1,24-Feb-2025 16:41:56,0                 
Time,Ampl
-2.6156e-008,-0.002130767
-2.5756e-008,-0.001660192
-2.5356e-008,-0.001660192
-2.4956e-008,-0.002130767
-2.4556e-008,-0.002130767
-2.4156e-008,-0.004483647
-2.3756e-008,-0.001189616
-2.3356e-008,0.0002221118
-2.2956e-008,-0.001189616
-2.2556e-008,0.0002221118
-2.2156e-008,-0.001189616
-2.1756e-008,-0.002130767
-2.1356e-008,-0.004954222
-2.0956e-008,-0.000248464
-2.0556e-008,-0.001189616
-2.0156e-008,-0.0007190399
-1.9756e-008,-0.002130767
-1.9356e-008,-0.002601343
-1.8956e-008,-0.002130767
-1.8556e-008,-0.001189616
-1.8156e-008,-0.001660192
-1.7756e-008,-0.001189616
-1.7356e-008,-0.004013071
-1.6956e-008,-0.001660192
-1.6556e-008,-0.0007190399
-1.6156e-008,-0.000248464
-1.5756e-008,0.0006926876
-1.5356e-008,0.0002221118
-1.4956e-008,-0.000248464
-1.4556e-008,-0.001660192
-1.4156e-008,-0.0007190399
-1.3756e-008,0.0006926876
-1.3356e-008,0.0006926876
-1.2956e-008,-0.0007190399
-1.2556e-008,0.0002221118
-1.2156e-008,-0.0007190399
-1.1756e-008,-0.0007190399
-1.1356e-008,-0.002130767
-1.0956e-008,0.002574991
-1.0556e-008,-0.002130767
-1.0156e-008,-0.002601343
-9.756e-009,-0.003071919
-9.356e-009,-0.001660192
-8.956e-009,-0.001189616
-8.556e-009,-0.001189616
-8.156e-009,0.0006926876
-7.756e-009,-0.0007190399
-7.356e-009,0.0006926876
-6.956e-009,-0.000248464
-6.556e-009,-0.001660192
-6.156e-009,-0.0007190399
-5.756e-009,-0.0007190399
-5.356e-009,-0.0007190399
-4.956e-009,-0.001660192
-4.556e-009,-0.004013071
-4.156e-009,0.0002221118
-3.756e-009,-0.002601343
-3.356e-009,-0.001189616
-2.956e-009,0.0006926876
-2.556e-009,0.001633839
-2.156e-009,-0.001189616
-1.756e-009,-0.001189616
-1.356e-009,-0.001660192
-9.56e-010,0.0002221118
-5.56e-010,0.0002221118
-1.56e-010,-0.001660192
2.44e-010,-0.005424798
6.44e-010,-0.002130767
1.044e-009,-0.0007190399
1.444e-009,-0.004013071
1.844e-009,-0.000248464
2.244e-009,-0.000248464
2.644e-009,0.0006926876
3.044e-009,-0.003542495
3.444e-009,-0.000248464
3.844e-009,-0.002601343
4.244e-009,-0.002130767
4.644e-009,-0.001189616
5.044e-009,-0.004013071
5.444e-009,-0.001660192
5.844e-009,-0.001189616
6.244e-009,-0.003071919
6.644e-009,0.0002221118
7.044e-009,-0.0007190399
7.444e-009,-0.000248464
7.844e-009,-0.002601343
8.244e-009,-0.000248464
8.644e-009,-0.000248464
9.044e-009,-0.0007190399
9.444e-009,-0.002601343
9.844e-009,0.0006926876
1.0244e-008,-0.002601343
1.0644e-008,-0.001189616
1.1044e-008,-0.002601343
1.1444e-008,-0.0007190399
1.1844e-008,-0.001660192
1.2244e-008,0.0006926876
1.2644e-008,-0.001660192
1.3044e-008,0.0002221118
1.3444e-008,-0.0007190399
1.3844e-008,-0.001189616
1.4244e-008,-0.0007190399
1.4644e-008,-0.000248464
1.5044e-008,0.002574991
1.5444e-008,-0.001189616
1.5844e-008,-0.000248464
1.6244e-008,0.0002221118
1.6644e-008,-0.004954222
1.7044e-008,-0.001660192
1.7444e-008,-0.001189616
1.7844e-008,-0.004483647
1.8244e-008,-0.001189616
1.8644e-008,-0.001189616
1.9044e-008,-0.001660192
1.9444e-008,0.001633839
1.9844e-008,0.001633839
2.0244e-008,-0.003542495
2.0644e-008,0.001633839
2.1044e-008,-0.003071919
2.1444e-008,-0.001189616
2.1844e-008,-0.002130767
2.2244e-008,-0.001189616
2.2644e-008,-0.001189616
2.3044e-008,0.0002221118
2.3444e-008,0.0002221118
2.3844e-008,0.001163263
2.4244e-008,-0.001660192
2.4644e-008,-0.002130767
