LECROYWS4104HD,18971,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,10-Mar-2025 17:16:45,0                 
Time,Ampl
-8.000156e-006,0.0186649
-7.999756e-006,-0.0378042
-7.999356e-006,-0.00956963
-7.998956e-006,-0.0236869
-7.998556e-006,-0.000158113
-7.998156e-006,-0.0236869
-7.997756e-006,-0.0236869
-7.997356e-006,0.0233707
-7.996956e-006,-0.0189811
-7.996556e-006,-0.000158113
-7.996156e-006,0.00454764
-7.995756e-006,-0.0283927
-7.995356e-006,-0.0189811
-7.994956e-006,-0.0283927
-7.994556e-006,0.037488
-7.994156e-006,-0.0236869
-7.993756e-006,-0.0142754
-7.993356e-006,-0.0236869
-7.992956e-006,0.0186649
-7.992556e-006,0.00454764
-7.992156e-006,0.0186649
-7.991756e-006,-0.0236869
-7.991356e-006,-0.0189811
-7.990956e-006,-0.0236869
-7.990556e-006,-0.0189811
-7.990156e-006,-0.000158113
-7.989756e-006,-0.0378042
-7.989356e-006,-0.0142754
-7.988956e-006,0.00454764
-7.988556e-006,-0.0236869
-7.988156e-006,-0.000158113
-7.987756e-006,-0.0378042
-7.987356e-006,-0.000158113
-7.986956e-006,-0.000158113
-7.986556e-006,-0.0142754
-7.986156e-006,0.0233707
-7.985756e-006,0.0139592
-7.985356e-006,-0.0330984
-7.984956e-006,0.0139592
-7.984556e-006,-0.000158113
-7.984156e-006,-0.0236869
-7.983756e-006,-0.0236869
-7.983356e-006,-0.000158113
-7.982956e-006,-0.00486387
-7.982556e-006,-0.00486387
-7.982156e-006,0.00454764
-7.981756e-006,0.0327822
-7.981356e-006,-0.0236869
-7.980956e-006,-0.00956963
-7.980556e-006,-0.000158113
-7.980156e-006,-0.0142754
-7.979756e-006,-0.00486387
-7.979356e-006,0.0139592
-7.978956e-006,-0.0189811
-7.978556e-006,-0.000158113
-7.978156e-006,0.0233707
-7.977756e-006,-0.0189811
-7.977356e-006,0.00454764
-7.976956e-006,-0.0142754
-7.976556e-006,0.0092534
-7.976156e-006,-0.0330984
-7.975756e-006,0.0092534
-7.975356e-006,-0.0142754
-7.974956e-006,-0.0425099
-7.974556e-006,-0.000158113
-7.974156e-006,-0.00956963
-7.973756e-006,-0.000158113
-7.973356e-006,-0.0236869
-7.972956e-006,0.0280764
-7.972556e-006,-0.00486387
-7.972156e-006,-0.0189811
-7.971756e-006,-0.00486387
-7.971356e-006,-0.0142754
-7.970956e-006,-0.0142754
-7.970556e-006,0.00454764
-7.970156e-006,-0.0378042
-7.969756e-006,-0.000158113
-7.969356e-006,-0.0189811
-7.968956e-006,0.0186649
-7.968556e-006,-0.0236869
-7.968156e-006,0.00454764
-7.967756e-006,-0.0142754
-7.967356e-006,0.0186649
-7.966956e-006,0.00454764
-7.966556e-006,-0.0142754
-7.966156e-006,-0.0236869
-7.965756e-006,-0.0283927
-7.965356e-006,0.0092534
-7.964956e-006,0.00454764
-7.964556e-006,-0.0189811
-7.964156e-006,-0.0283927
-7.963756e-006,-0.0472157
-7.963356e-006,0.0092534
-7.962956e-006,-0.0236869
-7.962556e-006,-0.0283927
-7.962156e-006,-0.0425099
-7.961756e-006,-0.00486387
-7.961356e-006,-0.0378042
-7.960956e-006,-0.00486387
-7.960556e-006,0.0139592
-7.960156e-006,-0.0189811
-7.959756e-006,-0.00956963
-7.959356e-006,-0.00956963
-7.958956e-006,-0.0330984
-7.958556e-006,-0.000158113
-7.958156e-006,-0.0425099
-7.957756e-006,0.0327822
-7.957356e-006,-0.0330984
-7.956956e-006,-0.0330984
-7.956556e-006,0.00454764
-7.956156e-006,-0.0283927
-7.955756e-006,-0.0236869
-7.955356e-006,-0.00486387
-7.954956e-006,-0.0283927
-7.954556e-006,-0.0142754
-7.954156e-006,0.0139592
-7.953756e-006,0.0092534
-7.953356e-006,-0.0189811
-7.952956e-006,-0.0189811
-7.952556e-006,-0.000158113
-7.952156e-006,-0.0189811
-7.951756e-006,0.00454764
-7.951356e-006,-0.0236869
-7.950956e-006,0.037488
-7.950556e-006,-0.0283927
-7.950156e-006,0.0092534
-7.949756e-006,-0.0236869
-7.949356e-006,-0.00486387
-7.948956e-006,-0.0283927
-7.948556e-006,-0.0142754
-7.948156e-006,-0.0236869
-7.947756e-006,-0.00486387
-7.947356e-006,-0.0330984
-7.946956e-006,-0.00956963
-7.946556e-006,-0.0189811
-7.946156e-006,-0.0142754
-7.945756e-006,-0.0378042
-7.945356e-006,-0.000158113
-7.944956e-006,0.0139592
-7.944556e-006,-0.00956963
-7.944156e-006,-0.0189811
-7.943756e-006,-0.0189811
-7.943356e-006,-0.00486387
-7.942956e-006,-0.0236869
-7.942556e-006,-0.0142754
-7.942156e-006,-0.0142754
-7.941756e-006,-0.00956963
-7.941356e-006,0.00454764
-7.940956e-006,-0.00486387
-7.940556e-006,-0.00956963
-7.940156e-006,-0.0330984
-7.939756e-006,-0.000158113
-7.939356e-006,-0.0142754
-7.938956e-006,-0.0189811
-7.938556e-006,-0.0283927
-7.938156e-006,-0.0189811
-7.937756e-006,0.00454764
-7.937356e-006,0.0139592
-7.936956e-006,-0.0283927
-7.936556e-006,-0.000158113
-7.936156e-006,-0.0189811
-7.935756e-006,-0.000158113
-7.935356e-006,-0.0378042
-7.934956e-006,0.00454764
-7.934556e-006,-0.000158113
-7.934156e-006,-0.0236869
-7.933756e-006,-0.00956963
-7.933356e-006,-0.0189811
-7.932956e-006,-0.00956963
-7.932556e-006,-0.000158113
-7.932156e-006,-0.0472157
-7.931756e-006,0.0139592
-7.931356e-006,-0.0378042
