Collector Max Voltage (mV),PicoScope ICT Charge,Enclosed,
-0.0660387,4.297287898,0.00%,0.00
-0.000330984,2.219126239,0.00%,0.00
-0.000354513,-1.628377211,0.00%,0.00
-0.0754502,-10.84711792,0.00%,0.00
-0.000289809,-0.7755762217,0.00%,0.00
-0.0707445,4.703678023,0.00%,0.00
-0.98583,4.378205755,0.00%,0.00
-0.0707445,-0.7222507612,0.00%,0.00
-0.0848618,4.189356966,0.00%,0.00
-0.988183,7.465321857,0.00%,0.00
-0.992889,26.12671336,1.84%,0.48
-0.0848618,11.05081091,0.82%,0.09
-1.20954,14.29833241,2.12%,0.30
,34.2389079,0.75%,0.26
,20.08741014,1.75%,0.35
-0.000516273,19.4067107,1.29%,0.25
-0.649553,15.24986097,1.84%,0.28
-0.997594,36.63200842,0.61%,0.22
-0.999947,15.19188537,1.43%,0.22
-0.997594,21.50143204,1.00%,0.22
-0.000422158,6.884412046,0.67%,0.05
-0.000522156,-1.509791866,0.27%,0.00
-0.0895675,-7.101010178,0.33%,-0.02
-0.390736,9.716613872,0.39%,0.04
-0.399963,1.160017337,0.75%,0.01
-0.277798,-3.311728199,0.63%,-0.02
-0.404669,3.228528825,0.54%,0.02
-0.000569213,3.587095638,0.60%,0.02
,4.80490404,0.68%,0.03
-0.000589801,8.674149013,0.90%,0.08
-0.461322,-66.21248446,0.98%,-0.65
-1.19071,-552.6297845,0.52%,-2.87
-0.390552,-344.5094159,0.72%,-2.48
-0.390552,-472.48618,0.55%,-2.60
-0.390552,-275.9060104,0.56%,-1.55
-0.000495686,221.3291572,0.82%,1.81
-0.000513332,5.148983171,0.48%,0.02
-0.000557449,232.1665995,0.63%,1.46
,281.8062559,0.66%,1.86
-0.0282082,243.7793707,0.59%,1.44
-0.032914,8.091777257,0.34%,0.03
-0.0282082,1.496017185,0.34%,0.01
-0.000389806,7.445497973,0.34%,0.03
-0.0282082,15.26568988,0.34%,0.05
-0.000522156,4.181188027,0.34%,0.01
-0.0707445,12.42711892,0.34%,0.04
-0.000342749,-5.217098129,0.34%,-0.02
-0.000589801,7.442097314,0.34%,0.03
-0.0282082,5.929372514,0.37%,0.02
-0.000448628,11.55183507,0.34%,0.04
-0.0660387,10.27147776,0.34%,0.03
-0.061333,10.27147776,0.34%,0.03
-0.16486,219.0724881,0.61%,1.34
-0.000486862,220.0297063,1.09%,2.40
-0.131919,289.9850753,0.64%,1.86
-0.411728,336.6516418,0.41%,1.38
-0.399963,285.3606946,0.51%,1.46
-0.322318,331.1565044,0.55%,1.82
-0.407022,298.9433096,0.41%,1.23
-6.03992,320.949102,0.99%,3.18
-0.00056039,276.4676654,0.54%,1.49
-0.741236,251.2575397,0.49%,1.23
-0.404669,273.0979687,1.01%,2.76
-0.000498627,271.7648045,0.60%,1.63
-0.00058686,365.9219207,0.56%,2.05
-0.268307,187.6451279,1.14%,2.14
-0.00061333,376.9883729,0.50%,1.88
-0.000580978,236.5703884,0.58%,1.37
-0.448945,213.5705201,0.51%,1.09
-0.340242,434.5715641,0.35%,1.52
-0.000492745,277.70393,0.32%,0.89
-0.000495686,295.5031186,0.63%,1.86
-0.000592742,,0.48%,0.00
-0.0729472,219.0677797,0.62%,1.36
-0.620697,207.6779891,0.64%,1.33
-0.407022,364.0185123,0.77%,2.80
-1.51951,332.8159958,0.46%,1.53
-0.409375,222.1965198,0.78%,1.73
-0.978837,238.6362386,0.50%,1.19
-0.411728,351.6651228,0.79%,2.78
-0.409375,317.7928449,0.83%,2.64
-3.6283,229.4122092,0.88%,2.02
-1.49659,321.3526201,0.37%,1.19
-0.63073,215.9557164,0.60%,1.30
-1.36953,192.9450628,0.82%,1.58
-0.000545684,196.569983,0.56%,1.10
-2.9789,412.684243,0.60%,2.48
-0.416433,214.7982007,0.60%,1.29
-0.000416276,137.0278698,0.76%,1.04
-0.416433,341.9276582,0.48%,1.64
-0.402316,23.56472267,0.73%,0.17
-1.79776,262.2292664,0.40%,1.05
-0.00048098,247.8407583,0.75%,1.86
-0.404669,285.5194181,0.73%,2.08
-1.52953,266.3628547,0.62%,1.65
-0.000483921,243.9412805,0.80%,1.95
-0.000275103,161.136463,0.77%,1.24
-0.399963,229.2204027,0.49%,1.12
-0.404669,326.9284729,0.70%,2.29
-0.404669,92.43134824,0.86%,0.79
-0.000510391,182.2560338,0.75%,1.37
-0.00050745,299.8813181,0.79%,2.37
-0.000369218,335.1542946,0.30%,1.01
-0.000542743,343.8376665,0.77%,2.65
-0.404669,196.0165429,0.38%,0.74
-1.36012,178.5431215,1.13%,2.02
-0.000407453,344.3064028,0.82%,2.82
-0.39761,350.9960861,0.76%,2.67
-3.7083,341.0590402,0.90%,3.07
-3.63771,357.1776141,0.62%,2.21
-0.421139,392.1055924,0.83%,3.25
-0.108391,26.58762003,0.50%,0.13
-0.416433,406.8726182,0.41%,1.67
-0.000445687,210.8280615,0.95%,2.00
-0.402316,284.5318591,0.60%,1.71
-4.54592,369.5918662,0.92%,3.40
-1.47777,359.8070325,0.45%,1.62
-0.402316,371.6474395,0.40%,1.49
-0.000283927,288.0873539,0.72%,2.07
-2.53186,294.12197,0.62%,1.82
-0.000330984,84.4166788,0.55%,0.46
-0.411728,138.549004,0.99%,1.37
-0.39761,311.2889987,0.78%,2.43
-0.000463334,309.8919645,0.75%,2.32
-0.000416276,344.2266661,0.57%,1.96
-0.000536861,311.0984219,0.91%,2.83
-0.000433923,206.4442075,1.36%,2.81
-0.000489804,334.6738233,0.59%,1.97
-0.41408,338.832933,0.85%,2.88
-1.59541,331.7381794,0.49%,1.63
-1.77893,200.2939651,0.63%,1.26
-0.407022,204.5342757,0.72%,1.47
-0.795431,282.5280207,0.31%,0.88
-0.000425099,354.6277431,0.44%,1.56
-0.407022,346.9207287,0.65%,2.25
-0.41408,333.9714003,0.75%,2.50
-0.39761,198.7546247,0.47%,0.93
-0.000442746,283.0948574,0.75%,2.12
-0.407022,263.4613028,1.01%,2.66
-0.000425099,89.95002244,1.70%,1.53
-1.60953,349.8581043,0.43%,1.50
-0.000457451,332.7853451,0.63%,2.10
-0.409375,196.1606594,1.05%,2.06
-0.000416276,197.9216426,0.67%,1.33
-0.411728,51.70414063,1.40%,0.72
-2.35304,409.0213468,0.52%,2.13
-0.418786,289.7994554,0.40%,1.16
-0.000522156,150.0384262,1.09%,1.64
-0.000492745,295.1504186,1.14%,3.36
-1.80246,119.2716917,0.55%,0.66
-0.421139,357.5366359,0.44%,1.57
-2.57421,335.2961808,0.82%,2.75
-0.000572154,147.7633086,0.72%,1.06
-0.000442746,306.8456428,0.80%,2.45
