LECROYWS4104HD,18971,Waveform
Segments,1,SegmentSize,5002
Segment,TrigTime,TimeSinceSegment1
#1,15-Mar-2024 16:18:59,0                 
Time,Ampl
-2.00206e-007,0.0259607
-1.99806e-007,0.0165492
-1.99406e-007,0.0424309
-1.99006e-007,0.0283136
-1.98606e-007,0.0236078
-1.98206e-007,0.0306665
-1.97806e-007,0.0236078
-1.97406e-007,0.0377251
-1.97006e-007,0.040078
-1.96606e-007,0.021255
-1.96206e-007,0.0236078
-1.95806e-007,0.021255
-1.95406e-007,0.0306665
-1.95006e-007,0.0259607
-1.94606e-007,0.0189021
-1.94206e-007,0.0330194
-1.93806e-007,0.0165492
-1.93406e-007,0.0236078
-1.93006e-007,0.0306665
-1.92606e-007,0.0306665
-1.92206e-007,0.0283136
-1.91806e-007,0.0330194
-1.91406e-007,0.0330194
-1.91006e-007,0.0283136
-1.90606e-007,0.0259607
-1.90206e-007,0.0283136
-1.89806e-007,0.0236078
-1.89406e-007,0.0259607
-1.89006e-007,0.0283136
-1.88606e-007,0.0306665
-1.88206e-007,0.0259607
-1.87806e-007,0.0353722
-1.87406e-007,0.0283136
-1.87006e-007,0.021255
-1.86606e-007,0.0189021
-1.86206e-007,0.0330194
-1.85806e-007,0.0259607
-1.85406e-007,0.0259607
-1.85006e-007,0.0377251
-1.84606e-007,0.0283136
-1.84206e-007,0.0306665
-1.83806e-007,0.0283136
-1.83406e-007,0.0236078
-1.83006e-007,0.0236078
-1.82606e-007,0.0165492
-1.82206e-007,0.0141963
-1.81806e-007,0.0236078
-1.81406e-007,0.0141963
-1.81006e-007,0.0236078
-1.80606e-007,0.0259607
-1.80206e-007,0.0118435
-1.79806e-007,0.021255
-1.79406e-007,0.0306665
-1.79006e-007,0.021255
-1.78606e-007,0.0165492
-1.78206e-007,0.0283136
-1.77806e-007,0.0236078
-1.77406e-007,0.0330194
-1.77006e-007,0.0236078
-1.76606e-007,0.0165492
-1.76206e-007,0.0189021
-1.75806e-007,0.021255
-1.75406e-007,0.021255
-1.75006e-007,0.0353722
-1.74606e-007,0.0306665
-1.74206e-007,0.0259607
-1.73806e-007,0.0306665
-1.73406e-007,0.0259607
-1.73006e-007,0.0236078
-1.72606e-007,0.021255
-1.72206e-007,0.021255
-1.71806e-007,0.0306665
-1.71406e-007,0.0306665
-1.71006e-007,0.0330194
-1.70606e-007,0.0306665
-1.70206e-007,0.0165492
-1.69806e-007,0.021255
-1.69406e-007,0.0259607
-1.69006e-007,0.0283136
-1.68606e-007,0.0330194
-1.68206e-007,0.0236078
-1.67806e-007,0.0236078
-1.67406e-007,0.0259607
-1.67006e-007,0.0377251
-1.66606e-007,0.0259607
-1.66206e-007,0.0236078
-1.65806e-007,0.0330194
-1.65406e-007,0.0353722
-1.65006e-007,0.0306665
-1.64606e-007,0.0165492
-1.64206e-007,0.0259607
-1.63806e-007,0.0306665
-1.63406e-007,0.0259607
-1.63006e-007,0.021255
-1.62606e-007,0.0259607
-1.62206e-007,0.0353722
-1.61806e-007,0.0283136
-1.61406e-007,0.021255
-1.61006e-007,0.0283136
-1.60606e-007,0.0306665
-1.60206e-007,0.0283136
-1.59806e-007,0.0236078
-1.59406e-007,0.0236078
-1.59006e-007,0.0141963
-1.58606e-007,0.021255
-1.58206e-007,0.0165492
-1.57806e-007,0.0118435
-1.57406e-007,0.0236078
-1.57006e-007,0.0236078
-1.56606e-007,0.021255
-1.56206e-007,0.0236078
-1.55806e-007,0.0259607
-1.55406e-007,0.0236078
-1.55006e-007,0.0259607
-1.54606e-007,0.0118435
-1.54206e-007,0.0259607
-1.53806e-007,0.0283136
-1.53406e-007,0.021255
-1.53006e-007,0.0353722
-1.52606e-007,0.0306665
-1.52206e-007,0.0330194
-1.51806e-007,0.0330194
-1.51406e-007,0.0236078
-1.51006e-007,0.0189021
-1.50606e-007,0.021255
-1.50206e-007,0.0189021
-1.49806e-007,0.0353722
-1.49406e-007,0.0353722
-1.49006e-007,0.021255
-1.48606e-007,0.0259607
-1.48206e-007,0.0424309
-1.47806e-007,0.0259607
-1.47406e-007,0.0306665
-1.47006e-007,0.0353722
-1.46606e-007,0.021255
-1.46206e-007,0.0306665
-1.45806e-007,0.0306665
-1.45406e-007,0.0165492
-1.45006e-007,0.021255
-1.44606e-007,0.0259607
-1.44206e-007,0.0236078
-1.43806e-007,0.0259607
-1.43406e-007,0.0283136
-1.43006e-007,0.0283136
-1.42606e-007,0.0118435
-1.42206e-007,0.0189021
-1.41806e-007,0.021255
-1.41406e-007,0.0306665
-1.41006e-007,0.0259607
-1.40606e-007,0.021255
-1.40206e-007,0.0189021
-1.39806e-007,0.0236078
-1.39406e-007,0.0330194
-1.39006e-007,0.0236078
-1.38606e-007,0.0259607
-1.38206e-007,0.0259607
-1.37806e-007,0.021255
-1.37406e-007,0.021255
-1.37006e-007,0.0259607
-1.36606e-007,0.0259607
-1.36206e-007,0.0283136
-1.35806e-007,0.0330194
-1.35406e-007,0.021255
-1.35006e-007,0.0189021
-1.34606e-007,0.0259607
-1.34206e-007,0.0165492
-1.33806e-007,0.040078
-1.33406e-007,0.021255
-1.33006e-007,0.0236078
-1.32606e-007,0.0189021
-1.32206e-007,0.0141963
-1.31806e-007,0.0259607
-1.31406e-007,0.0236078
-1.31006e-007,0.0189021
-1.30606e-007,0.0330194
-1.30206e-007,0.0259607
-1.29806e-007,0.0283136
-1.29406e-007,0.0283136
-1.29006e-007,0.0236078
-1.28606e-007,0.0259607
-1.28206e-007,0.0306665
-1.27806e-007,0.021255
-1.27406e-007,0.0306665
-1.27006e-007,0.0283136
-1.26606e-007,0.0236078
-1.26206e-007,0.0377251
-1.25806e-007,0.0165492
-1.25406e-007,0.0189021
-1.25006e-007,0.0306665
-1.24606e-007,0.021255
-1.24206e-007,0.0259607
-1.23806e-007,0.0236078
-1.23406e-007,0.0306665
-1.23006e-007,0.021255
-1.22606e-007,0.0306665
-1.22206e-007,0.0353722
-1.21806e-007,0.0330194
-1.21406e-007,0.0306665
-1.21006e-007,0.0259607
-1.20606e-007,0.0306665
-1.20206e-007,0.0353722
-1.19806e-007,0.0330194
-1.19406e-007,0.0259607
-1.19006e-007,0.0259607
-1.18606e-007,0.0189021
-1.18206e-007,0.0189021
-1.17806e-007,0.0377251
-1.17406e-007,0.0236078
-1.17006e-007,0.0283136
-1.16606e-007,0.0283136
-1.16206e-007,0.0259607
-1.15806e-007,0.0353722
-1.15406e-007,0.021255
-1.15006e-007,0.021255
-1.14606e-007,0.0330194
-1.14206e-007,0.0330194
-1.13806e-007,0.0236078
-1.13406e-007,0.0165492
-1.13006e-007,0.0236078
-1.12606e-007,0.0259607
-1.12206e-007,0.021255
-1.11806e-007,0.0283136
-1.11406e-007,0.0283136
-1.11006e-007,0.0306665
-1.10606e-007,0.0283136
-1.10206e-007,0.0189021
-1.09806e-007,0.0189021
-1.09406e-007,0.0259607
-1.09006e-007,0.0306665
-1.08606e-007,0.0236078
-1.08206e-007,0.0330194
-1.07806e-007,0.021255
-1.07406e-007,0.0283136
-1.07006e-007,0.0189021
-1.06606e-007,0.0259607
-1.06206e-007,0.0306665
-1.05806e-007,0.00949057
-1.05406e-007,0.0165492
-1.05006e-007,0.0259607
-1.04606e-007,0.0141963
-1.04206e-007,0.0236078
-1.03806e-007,0.0283136
-1.03406e-007,0.0189021
-1.03006e-007,0.0259607
-1.02606e-007,0.0306665
-1.02206e-007,0.0306665
-1.01806e-007,0.0353722
-1.01406e-007,0.0471366
-1.01006e-007,0.0283136
-1.00606e-007,0.0330194
-1.00206e-007,0.0165492
-9.9806e-008,0.0259607
-9.9406e-008,0.0141963
-9.9006e-008,0.0236078
-9.8606e-008,0.021255
-9.8206e-008,0.0377251
-9.7806e-008,0.0165492
-9.7406e-008,0.0283136
-9.7006e-008,0.0424309
-9.6606e-008,0.0259607
-9.6206e-008,0.0259607
-9.5806e-008,0.0283136
-9.5406e-008,0.0189021
-9.5006e-008,0.0259607
-9.4606e-008,0.0330194
-9.4206e-008,0.0283136
-9.3806e-008,0.0259607
-9.3406e-008,0.0259607
-9.3006e-008,0.0259607
-9.2606e-008,0.0141963
-9.2206e-008,0.0189021
-9.1806e-008,0.0236078
-9.1406e-008,0.0236078
-9.1006e-008,0.0283136
-9.0606e-008,0.021255
-9.0206e-008,0.0377251
-8.9806e-008,0.0283136
-8.9406e-008,0.0330194
-8.9006e-008,0.021255
-8.8606e-008,0.0330194
-8.8206e-008,0.0236078
-8.7806e-008,0.0189021
-8.7406e-008,0.0236078
-8.7006e-008,0.0236078
-8.6606e-008,0.0283136
-8.6206e-008,0.021255
-8.5806e-008,0.0283136
-8.5406e-008,0.0353722
-8.5006e-008,0.0353722
-8.4606e-008,0.0236078
-8.4206e-008,0.0189021
-8.3806e-008,0.0330194
-8.3406e-008,0.0259607
-8.3006e-008,0.0306665
-8.2606e-008,0.0283136
-8.2206e-008,0.0259607
-8.1806e-008,0.0259607
-8.1406e-008,0.0259607
-8.1006e-008,0.0165492
-8.0606e-008,0.0236078
-8.0206e-008,0.021255
-7.9806e-008,0.0118435
-7.9406e-008,0.0189021
-7.9006e-008,0.0141963
-7.8606e-008,0.0259607
-7.8206e-008,0.0259607
-7.7806e-008,0.0236078
-7.7406e-008,0.0259607
-7.7006e-008,0.0306665
-7.6606e-008,0.0283136
-7.6206e-008,0.0353722
-7.5806e-008,0.0283136
-7.5406e-008,0.0141963
-7.5006e-008,0.0330194
-7.4606e-008,0.0165492
-7.4206e-008,0.021255
-7.3806e-008,0.0259607
-7.3406e-008,0.0236078
-7.3006e-008,0.0353722
-7.2606e-008,0.0306665
-7.2206e-008,0.0259607
-7.1806e-008,0.0283136
-7.1406e-008,0.0306665
-7.1006e-008,0.0306665
-7.0606e-008,0.0283136
-7.0206e-008,0.021255
-6.9806e-008,0.0283136
-6.9406e-008,0.0424309
-6.9006e-008,0.0236078
-6.8606e-008,0.0283136
-6.8206e-008,0.0259607
-6.7806e-008,0.0236078
-6.7406e-008,0.0306665
-6.7006e-008,0.0165492
-6.6606e-008,0.0259607
-6.6206e-008,0.0306665
-6.5806e-008,0.021255
-6.5406e-008,0.0353722
-6.5006e-008,0.0259607
-6.4606e-008,0.0377251
-6.4206e-008,0.021255
-6.3806e-008,0.0189021
-6.3406e-008,0.0330194
-6.3006e-008,0.0330194
-6.2606e-008,0.0353722
-6.2206e-008,0.0306665
-6.1806e-008,0.0118435
-6.1406e-008,0.0306665
-6.1006e-008,0.021255
-6.0606e-008,0.0306665
-6.0206e-008,0.0283136
-5.9806e-008,0.0236078
-5.9406e-008,0.0283136
-5.9006e-008,0.0165492
-5.8606e-008,0.0259607
-5.8206e-008,0.0259607
-5.7806e-008,0.0259607
-5.7406e-008,0.0236078
-5.7006e-008,0.0330194
-5.6606e-008,0.0189021
-5.6206e-008,0.0259607
-5.5806e-008,0.0141963
-5.5406e-008,0.0165492
-5.5006e-008,0.0259607
-5.4606e-008,0.0236078
-5.4206e-008,0.021255
-5.3806e-008,0.0236078
-5.3406e-008,0.0259607
-5.3006e-008,0.0306665
-5.2606e-008,0.0283136
-5.2206e-008,0.0189021
-5.1806e-008,0.0189021
-5.1406e-008,0.0306665
-5.1006e-008,0.0259607
-5.0606e-008,0.0165492
-5.0206e-008,0.0377251
-4.9806e-008,0.0236078
-4.9406e-008,0.0353722
-4.9006e-008,0.0283136
-4.8606e-008,0.021255
-4.8206e-008,0.0189021
-4.7806e-008,0.0141963
-4.7406e-008,0.0236078
-4.7006e-008,0.0353722
-4.6606e-008,0.0118435
-4.6206e-008,0.0283136
-4.5806e-008,0.0306665
-4.5406e-008,0.0283136
-4.5006e-008,0.0330194
-4.4606e-008,0.0306665
-4.4206e-008,0.0306665
-4.3806e-008,0.0353722
-4.3406e-008,0.0353722
-4.3006e-008,0.021255
-4.2606e-008,0.021255
-4.2206e-008,0.0259607
-4.1806e-008,0.0353722
-4.1406e-008,0.0259607
-4.1006e-008,0.0377251
-4.0606e-008,0.0236078
-4.0206e-008,0.0236078
-3.9806e-008,0.0283136
-3.9406e-008,0.0306665
-3.9006e-008,0.0353722
-3.8606e-008,0.021255
-3.8206e-008,0.0236078
-3.7806e-008,0.0330194
-3.7406e-008,0.0236078
-3.7006e-008,0.0236078
-3.6606e-008,0.0259607
-3.6206e-008,0.0236078
-3.5806e-008,0.0283136
-3.5406e-008,0.021255
-3.5006e-008,0.0306665
-3.4606e-008,0.0377251
-3.4206e-008,0.0353722
-3.3806e-008,0.0283136
-3.3406e-008,0.021255
-3.3006e-008,0.021255
-3.2606e-008,0.021255
-3.2206e-008,0.0259607
-3.1806e-008,0.021255
-3.1406e-008,0.0259607
-3.1006e-008,0.0236078
-3.0606e-008,0.0306665
-3.0206e-008,0.0165492
-2.9806e-008,0.0165492
-2.9406e-008,0.0306665
-2.9006e-008,0.0236078
-2.8606e-008,0.0236078
-2.8206e-008,0.0236078
-2.7806e-008,0.0259607
-2.7406e-008,0.0377251
-2.7006e-008,0.0283136
-2.6606e-008,0.0236078
-2.6206e-008,0.021255
