Time,Channel B
(ns),(mV)

-100.99999470,-9.79330700
-100.49999472,-9.79330700
-99.99999473,-9.85420700
-99.49999474,-9.98400600
-98.99999476,-9.93171700
-98.49999477,-9.70472400
-97.99999479,-9.59461100
-97.49999480,-9.60568300
-96.99999481,-9.66043300
-96.49999483,-9.75762700
-95.99999484,-9.85912800
-95.49999486,-9.94586600
-94.99999487,-10.04983000
-94.49999488,-10.15810000
-93.99999490,-10.15810000
-93.49999491,-10.04983000
-92.99999493,-9.94033000
-92.49999494,-9.83206100
-91.99999496,-9.83759800
-91.49999497,-9.96739700
-90.99999498,-9.96739700
-90.49999500,-9.83759800
-89.99999501,-9.83452200
-89.49999503,-9.95386200
-88.99999504,-10.00861000
-88.49999505,-9.99753900
-87.99999507,-9.99507800
-87.49999508,-9.99507800
-86.99999510,-9.99507800
-86.49999511,-9.99507800
-85.99999513,-9.99507800
-85.49999514,-9.99507800
-84.99999515,-9.99261800
-84.49999517,-9.98154500
-83.99999518,-10.03937000
-83.49999520,-10.16917000
-82.99999521,-10.11934000
-82.49999522,-9.90342000
-81.99999524,-9.74101800
-81.49999525,-9.64382400
-80.99999527,-9.64936000
-80.49999528,-9.76870100
-79.99999529,-9.81791200
-79.49999531,-9.78531000
-78.99999532,-9.88988600
-78.49999534,-10.11688000
-77.99999535,-10.17163000
-77.49999537,-10.05290000
-76.99999538,-9.94033000
-76.49999539,-9.83206100
-75.99999541,-9.83452200
-75.49999542,-9.95386200
-74.99999544,-10.01415000
-74.49999545,-10.02522000
-73.99999546,-9.91510800
-73.49999548,-9.68811500
-72.99999549,-9.63582600
-72.49999551,-9.76562400
-71.99999552,-9.82098900
-71.49999554,-9.79884200
-70.99999555,-9.84867000
-70.49999556,-9.95632300
-69.99999558,-10.00861000
-69.49999559,-9.99753900
-68.99999561,-9.99507800
-68.49999562,-9.99507800
-67.99999563,-9.99753900
-67.49999565,-10.00861000
-66.99999566,-9.95939900
-66.49999568,-9.86220500
-65.99999569,-9.75762700
-65.49999571,-9.66043300
-64.99999572,-9.61122000
-64.49999573,-9.62229300
-63.99999575,-9.61675600
-63.49999576,-9.58353800
-62.99999578,-9.74594000
-62.49999579,-10.09166000
-61.99999580,-10.14702000
-61.49999582,-9.90895600
-60.99999583,-9.73855800
-60.49999585,-9.63029000
-59.99999586,-9.68811500
-59.49999587,-9.91510800
-58.99999589,-10.02522000
-58.49999590,-10.01415000
-57.99999592,-9.95386200
