Time,Voltage
(ns),(mV)

0,-0.691437
2,-0.691437
4,-0.691437
6,-0.691437
8,-0.691437
10,-0.518578
12,-0.691437
14,-0.691437
16,-0.691437
18,-0.691437
20,-0.691437
22,-0.345719
24,-0.864296
26,-0.345719
28,-0.864296
30,-0.518578
32,-0.691437
34,-0.864296
36,-0.864296
38,-0.345719
40,-0.691437
42,-0.691437
44,-0.691437
46,-0.345719
48,-0.691437
50,-0.691437
52,-0.691437
54,-0.864296
56,-0.864296
58,-0.691437
60,-0.864296
62,-0.691437
64,-0.518578
66,-0.691437
68,-0.691437
70,-0.518578
72,-0.691437
74,-0.518578
76,-0.864296
78,-0.518578
80,-0.518578
82,-0.345719
84,-0.691437
86,-0.518578
88,-0.864296
90,-0.691437
92,-0.864296
94,-0.345719
96,-0.518578
98,-0.691437
100,-0.691437
102,-0.691437
104,-0.691437
106,-0.518578
108,-0.691437
110,-0.691437
112,-0.691437
114,-0.691437
116,-0.691437
118,-0.691437
120,-0.691437
122,-0.518578
124,-0.518578
126,-0.345719
128,-0.518578
130,-0.691437
132,-0.691437
134,-0.518578
136,-0.691437
138,-0.691437
140,-0.691437
142,-0.345719
144,-0.691437
146,-0.691437
148,-0.691437
150,-0.345719
152,-0.691437
154,-0.518578
156,-0.691437
158,-0.345719
160,-0.691437
162,-0.691437
164,-0.864296
166,-0.518578
168,-0.691437
170,-0.691437
172,-0.691437
174,-0.691437
176,-0.691437
178,-0.691437
180,-0.691437
182,-0.691437
184,-0.864296
186,-0.518578
188,-0.691437
190,-0.518578
192,-0.691437
194,-0.864296
196,-0.691437
198,-0.518578
200,-0.691437
202,-0.518578
204,-0.864296
206,-0.518578
208,-0.518578
210,-0.691437
212,-0.864296
214,-0.691437
216,-0.864296
218,-0.691437
220,-1.03716
222,-0.691437
224,-0.691437
226,-0.518578
228,-0.691437
230,-0.345719
232,-0.864296
234,-0.691437
236,-0.691437
238,-0.691437
240,-0.691437
242,-0.691437
244,-0.691437
246,-0.518578
248,-0.691437
250,-0.518578
252,-0.691437
254,-0.345719
256,-0.691437
258,-0.691437
260,-0.691437
262,-0.691437
264,-0.864296
266,-0.345719
268,-0.691437
270,-0.691437
272,-0.691437
274,-0.691437
276,-0.691437
278,-0.691437
280,-0.864296
282,-0.518578
284,-0.864296
286,-0.345719
288,-0.691437
290,-0.691437
292,-0.691437
294,-0.345719
296,-0.864296
298,-0.518578
300,-0.691437
302,-0.518578
304,-0.691437
